Time,updated rows per sec - 11.1.2.20(master)
2025/5/27 08:57,13.8
2025/5/27 08:57,15
2025/5/27 08:57,14.9
2025/5/27 08:57,13.8
2025/5/27 08:58,14.5
2025/5/27 08:58,17.2
2025/5/27 08:58,16.9
2025/5/27 08:58,17.3
2025/5/27 08:59,17.7
2025/5/27 08:59,15.6
2025/5/27 08:59,15.2
2025/5/27 08:59,15.1
2025/5/27 09:00,15.5
2025/5/27 09:00,26.4
2025/5/27 09:00,35.3
2025/5/27 09:00,43
2025/5/27 09:01,51.2
2025/5/27 09:01,47.9
2025/5/27 09:01,49.7
2025/5/27 09:01,54
2025/5/27 09:02,59.2
2025/5/27 09:02,60.3
2025/5/27 09:02,59.1
2025/5/27 09:02,53.9
2025/5/27 09:03,53.9
2025/5/27 09:03,58.9
2025/5/27 09:03,58.6
2025/5/27 09:03,62.2
2025/5/27 09:04,61.3
2025/5/27 09:04,51.6
2025/5/27 09:04,54.9
2025/5/27 09:04,61.8
2025/5/27 09:05,59.5
2025/5/27 09:05,65.4
2025/5/27 09:05,62.7
2025/5/27 09:05,56.5
2025/5/27 09:06,53.6
2025/5/27 09:06,54
2025/5/27 09:06,61.4
2025/5/27 09:06,62.4
2025/5/27 09:07,64.8
2025/5/27 09:07,64.9
2025/5/27 09:07,53
2025/5/27 09:07,56.9
2025/5/27 09:08,70.2
2025/5/27 09:08,68.7
2025/5/27 09:08,74.5
2025/5/27 09:08,71.1
2025/5/27 09:09,62.4
2025/5/27 09:09,57.9
2025/5/27 09:09,57.9
2025/5/27 09:09,60.4
2025/5/27 09:10,61.5
2025/5/27 09:10,66.9
2025/5/27 09:10,68.8
2025/5/27 09:10,63.5
2025/5/27 09:11,59.8
2025/5/27 09:11,64.3
2025/5/27 09:11,60.8
2025/5/27 09:11,64.2
2025/5/27 09:12,65
2025/5/27 09:12,60.6
2025/5/27 09:12,55.7
2025/5/27 09:12,57
2025/5/27 09:13,61.9
2025/5/27 09:13,60.7
2025/5/27 09:13,61.1
2025/5/27 09:13,56.3
2025/5/27 09:14,43.6
2025/5/27 09:14,37.6
2025/5/27 09:14,41.8
2025/5/27 09:14,39.8
2025/5/27 09:15,41.9
2025/5/27 09:15,43.3
2025/5/27 09:15,38.3
2025/5/27 09:15,36.6
2025/5/27 09:16,36.1
2025/5/27 09:16,30.3
2025/5/27 09:16,25.7
2025/5/27 09:16,23.1
2025/5/27 09:17,18.6
2025/5/27 09:17,14.1
2025/5/27 09:17,14.9
2025/5/27 09:17,17.4
2025/5/27 09:18,17.3
2025/5/27 09:18,18.9
2025/5/27 09:18,18.5
2025/5/27 09:18,19.2
2025/5/27 09:19,18.5
2025/5/27 09:19,19.1
2025/5/27 09:19,20.7
2025/5/27 09:19,17.3
2025/5/27 09:20,18.2
2025/5/27 09:20,19.8
2025/5/27 09:20,17.1
2025/5/27 09:20,18.6
2025/5/27 09:21,18.7
2025/5/27 09:21,15.7
2025/5/27 09:21,17.1
2025/5/27 09:21,16.6
2025/5/27 09:22,17.3
2025/5/27 09:22,15.9
2025/5/27 09:22,15.9
2025/5/27 09:22,17
2025/5/27 09:23,16.3
2025/5/27 09:23,17.4
2025/5/27 09:23,16.5
2025/5/27 09:23,14.2
2025/5/27 09:24,14.4
2025/5/27 09:24,20.4
2025/5/27 09:24,21.3
2025/5/27 09:24,22.4
2025/5/27 09:25,23
2025/5/27 09:25,19.6
2025/5/27 09:25,19.7
2025/5/27 09:25,24.4
2025/5/27 09:26,24.1
2025/5/27 09:26,34.1
2025/5/27 09:26,33.3
2025/5/27 09:26,29.6
2025/5/27 09:27,30.3
2025/5/27 09:27,17
2025/5/27 09:27,16.6
2025/5/27 09:27,15.4
2025/5/27 09:28,15.4
2025/5/27 09:28,16.7
2025/5/27 09:28,15.5
2025/5/27 09:28,15
2025/5/27 09:29,15.4
2025/5/27 09:29,16
2025/5/27 09:29,17.5
2025/5/27 09:29,19.3
2025/5/27 09:30,19.4
2025/5/27 09:30,17.3
2025/5/27 09:30,23.8
2025/5/27 09:30,24.3
2025/5/27 09:31,24.2
2025/5/27 09:31,27
2025/5/27 09:31,21.4
2025/5/27 09:31,23.7
2025/5/27 09:32,24.3
2025/5/27 09:32,23
2025/5/27 09:32,26.9
2025/5/27 09:32,23.6
2025/5/27 09:33,22.6
2025/5/27 09:33,21.7
2025/5/27 09:33,15.8
2025/5/27 09:33,14.8
2025/5/27 09:34,20.9
2025/5/27 09:34,25
2025/5/27 09:34,25
2025/5/27 09:34,25.3
2025/5/27 09:35,25.1
2025/5/27 09:35,20
2025/5/27 09:35,23
2025/5/27 09:35,26.1
2025/5/27 09:36,23.1
2025/5/27 09:36,26.7
2025/5/27 09:36,25.1
2025/5/27 09:36,22.2
2025/5/27 09:37,20.6
2025/5/27 09:37,17
2025/5/27 09:37,16.1
2025/5/27 09:37,16.7
2025/5/27 09:38,18.3
2025/5/27 09:38,20.9
2025/5/27 09:38,21
2025/5/27 09:38,21.6
2025/5/27 09:39,20.5
2025/5/27 09:39,19
2025/5/27 09:39,21.9
2025/5/27 09:39,22.4
2025/5/27 09:40,24
2025/5/27 09:40,27.4
2025/5/27 09:40,29.3
2025/5/27 09:40,29.3
2025/5/27 09:41,28.4
2025/5/27 09:41,25.2
2025/5/27 09:41,21.7
2025/5/27 09:41,22
2025/5/27 09:42,25.3
2025/5/27 09:42,29.1
2025/5/27 09:42,29.4
2025/5/27 09:42,29.4
2025/5/27 09:43,27.2
2025/5/27 09:43,22.6
2025/5/27 09:43,27.4
2025/5/27 09:43,26.5
2025/5/27 09:44,29
2025/5/27 09:44,32.6
2025/5/27 09:44,30.5
2025/5/27 09:44,30.4
2025/5/27 09:45,27.5
2025/5/27 09:45,24.1
2025/5/27 09:45,26.5
2025/5/27 09:45,29.1
2025/5/27 09:46,30.3
2025/5/27 09:46,32.3
2025/5/27 09:46,27.7
2025/5/27 09:46,25.2
2025/5/27 09:47,27.3
2025/5/27 09:47,25.7
2025/5/27 09:47,26.4
2025/5/27 09:47,25.7
