Time,deleted rows per sec - 11.1.2.20(master)
2025/5/27 09:45,0.0371
2025/5/27 09:45,0.0186
2025/5/27 09:45,0.0333
2025/5/27 09:45,0.0667
2025/5/27 09:46,0.0605
2025/5/27 09:46,0.0454
2025/5/27 09:46,0.0371
2025/5/27 09:46,0.0371
2025/5/27 09:47,0.0667
2025/5/27 09:47,0.0667
2025/5/27 09:47,0.0908
2025/5/27 09:47,0.0605
2025/5/27 09:48,0.0333
2025/5/27 09:48,0.0371
2025/5/27 09:48,0
2025/5/27 09:48,0
2025/5/27 09:49,0.0167
2025/5/27 09:49,0.0454
2025/5/27 09:49,0.0605
2025/5/27 09:49,0.0742
2025/5/27 09:50,0.0557
2025/5/27 09:50,0.0333
2025/5/27 09:50,0.0333
2025/5/27 09:50,0.0454
2025/5/27 09:51,0.0454
2025/5/27 09:51,0.05
2025/5/27 09:51,0.0557
2025/5/27 09:51,0.0371
2025/5/27 09:52,0.0333
2025/5/27 09:52,0.0333
2025/5/27 09:52,0.0303
2025/5/27 09:52,0.0454
2025/5/27 09:53,0.0557
2025/5/27 09:53,0.0371
2025/5/27 09:53,0.0333
2025/5/27 09:53,0.0167
2025/5/27 09:54,0.0151
2025/5/27 09:54,0.0151
